aeropuerto,pasajeros_total,pasajeros_inc_2023,pasajeros_inc_2019,operaciones_total,operaciones_inc_2023,operaciones_inc_2019,mercancia_total,mercancia_inc_2023,mercancia_inc_2019
(*).- LA INFORMACION DEL AEROPUERTO MURCIA-SAN JAVIER COMPRENDE DESDE EL DIA 1 AL 14 DE ENERO DE 2019. DESDE EL DIA 15 DE ENERO DE 2019 ESTE AEROPUERTO DEJÓ DE OPERAR.,,,,,,,,,
(**).- EL AEROPUERTO INTL. REGION MURCIA EMPEZÓ A OPERAR DESDE EL DIA 15 DE ENERO DE 2019.,,,,,,,,,
A CORUÑA,1237570.0,-1.2,-8.5,14490.0,-5.9,-15.8,54792.0,-28.8,-64.0
ADOLFO SUÁREZ MADRID-BARAJAS,66197066.0,9.9,7.2,420182.0,8.0,-1.5,766906712.0,19.2,36.9
AEROPUERTO INTL. REGIÓN MURCIA (**),909821.0,3.6,-16.6,7140.0,6.6,-10.5,0.0,,
ALBACETE,2115.0,-20.1,30.9,803.0,13.6,43.1,0.0,,
ALGECIRAS /HELIPUERTO,33762.0,-18.6,-10.5,2728.0,-20.3,-18.0,0.0,,
ALICANTE-ELCHE MIGUEL HDEZ.,18388543.0,16.8,22.2,116270.0,15.6,14.7,4247917.0,-4.8,5.3
ALMERÍA,786931.0,1.5,-19.7,12254.0,3.7,4.1,45.0,-2.2,-75.9
ALTAMIRA,102548.0,11.3,4.3,2626.0,14.7,-10.9,272933.0,5.4,28.9
ARACAJU,1286300.0,9.4,14.4,14579.0,21.9,2.8,2234202.0,28.3,-17.0
ASTURIAS,1993063.0,0.9,40.6,15466.0,1.2,15.4,7187.0,-37.5,-74.8
BADAJOZ,91461.0,14.0,21.3,3448.0,10.3,19.7,0.0,,
BARCELONA-EL PRAT J.T.,55037892.0,10.3,4.5,347978.0,9.1,1.0,181723353.0,16.1,2.8
BILBAO,6777645.0,7.0,14.8,52539.0,2.1,1.8,927558.0,23.5,-5.3
BURGOS,2495.0,-38.5,-85.9,22540.0,1.7,599.8,0.0,,-100.0
CAMPINA GRANDE,260294.0,15.0,83.2,5120.0,23.9,86.5,540804.0,-6.5,34.0
CAMPO GRANDE ,1532499.0,0.4,-0.6,16188.0,-3.2,-10.2,2668903.0,11.7,-30.3
CARAJÀS ,216803.0,21.9,32.1,5213.0,23.2,30.1,639767.0,4.8,51.7
CEUTA /HELIPUERTO,80682.0,-7.3,12.6,7513.0,-3.8,9.7,0.0,,
CORUMBÁ,27901.0,-22.1,-23.0,4700.0,178.8,158.0,68256.0,-40.1,-17.2
CÓRDOBA,8474.0,42.3,-20.8,15071.0,10.6,39.2,0.0,,
EL HIERRO,322182.0,7.0,19.8,6404.0,4.5,19.2,53015.0,-8.8,-25.0
FGL GRANADA-JAÉN,1133554.0,9.1,-9.5,18444.0,14.1,26.9,0.0,-100.0,-100.0
FUERTEVENTURA,6445952.0,7.1,14.4,52033.0,5.6,10.2,348674.0,-6.1,-52.6
GIRONA-COSTA BRAVA,1998021.0,25.9,3.4,24370.0,19.4,33.5,301957.0,-2.0,286.0
GRAN CANARIA,15219843.0,9.0,14.8,140462.0,8.4,11.1,18413262.0,7.6,-6.7
HUESCA-PIRINEOS,482.0,74.6,-22.5,1743.0,30.5,-81.1,0.0,,
IBIZA,9073223.0,1.6,11.3,83049.0,0.3,10.2,867779.0,-12.6,-39.5
JEREZ DE LA FRONTERA,949726.0,5.0,-15.3,52527.0,7.2,-3.6,0.0,-100.0,-100.0
JOAO PESSOA,1605805.0,12.2,21.3,15584.0,17.2,21.2,3672737.0,30.1,-22.2
JUAZEIRO DO NORTE,498978.0,2.9,-7.7,7534.0,6.6,3.7,735895.0,25.7,-32.9
LA GOMERA,120707.0,6.5,55.6,3793.0,-4.0,33.4,4304.0,-12.0,128.9
LA PALMA,1496133.0,9.3,0.8,24381.0,5.1,7.8,319672.0,14.1,-31.4
LANZAROTE CÉSAR MANRIQUE,8714439.0,6.1,19.5,71608.0,5.1,18.3,507593.0,-2.7,-64.6
LEÓN,62115.0,-2.2,-5.9,3268.0,0.6,18.5,0.0,,
LOGROÑO,18632.0,11.2,-4.2,8781.0,341.3,518.4,0.0,,
LONDRES-LUTON,16735984.0,3.3,-7.0,131972.0,2.7,-6.7,30666833.0,17.8,-16.9
MACEIÓ,2687790.0,14.2,27.4,24353.0,13.3,33.8,3441186.0,0.8,19.4
MADRID-CUATRO VIENTOS,1480.0,-24.0,-58.5,63910.0,12.8,23.0,0.0,,
MARABÀ,378755.0,1.6,31.0,6879.0,-1.4,13.3,1252608.0,23.3,19.1
MELILLA,507987.0,1.4,16.9,10977.0,2.1,12.4,31934.0,29.4,-76.3
MENORCA,4172691.0,3.2,19.4,36949.0,3.6,16.9,596116.0,-13.4,-51.9
MONTES CLAROS,355203.0,6.2,56.0,9938.0,-0.6,30.6,266986.0,2.8,17.2
MURCIA-SAN JAVIER,0.0,,-100.0,0.0,,-100.0,0.0,,
MÁLAGA-COSTA DEL SOL,24924219.0,11.5,25.5,174919.0,8.2,20.7,3588580.0,27.9,16.5
PALMA DE MALLORCA,33298379.0,7.0,12.0,243201.0,6.2,12.0,6758092.0,-5.9,-25.1
PAMPLONA,220394.0,11.5,-9.5,5839.0,8.9,-4.8,2.0,-99.3,-100.0
PONTA PORÃ,40328.0,-43.0,930.6,2796.0,-11.0,20.4,50177.0,2.7,
RECIFE,9593804.0,6.1,11.5,91314.0,8.0,12.5,48175400.0,9.0,6.1
REUS,1181514.0,13.0,12.9,21921.0,6.9,24.0,0.0,,
SABADELL,6567.0,5.8,29.6,58695.0,22.0,15.9,0.0,,
SALAMANCA,20215.0,-4.2,13.8,8447.0,2.4,-16.6,0.0,,
SAN SEBASTIÁN,486494.0,0.8,51.8,6015.0,-2.3,-7.1,0.0,-100.0,-100.0
SANTARÉM ,523670.0,17.9,1.8,11125.0,-9.0,6.4,2984057.0,15.0,2.4
SANTIAGO-ROSALÍA DE CASTRO,3640519.0,2.9,25.4,26969.0,4.1,20.4,5020688.0,4.2,56.8
SEVE BALLESTEROS-SANTANDER,1095398.0,-11.8,-6.8,11724.0,-6.9,4.3,20.0,-73.7,-87.9
SEVILLA,9175759.0,13.7,21.6,71440.0,10.3,11.4,10955009.0,0.4,10.7
SON BONET,9864.0,-1.3,139.3,18247.0,7.7,36.6,0.0,,
SÃO PAULO/CONGONHAS,23130523.0,4.5,2.0,234538.0,1.6,8.0,42574301.0,17.2,-25.9
TENERIFE NORTE-C. LA LAGUNA,6765619.0,10.5,15.9,82063.0,9.1,8.9,12861878.0,11.3,2.1
TENERIFE SUR,13741355.0,11.4,23.0,90508.0,8.3,28.8,775481.0,-1.6,-64.6
Total ANB,15932971.0,8.3,15.1,158484.0,11.2,16.2,58800224.0,10.2,2.8
Total BOAB,27443005.0,4.1,2.4,322430.0,2.1,7.3,52004266.0,16.1,-23.7
Total Red Aena,369483579.0,8.5,10.7,3203848.0,7.1,9.0,1421804093.0,18.1,15.4
Total aeropuertos brasileños,43375976.0,5.6,6.7,480914.0,5.0,10.1,110804490.0,12.9,-11.6
Total aeropuertos españoles,309371619.0,9.2,12.4,2590962.0,7.8,9.7,1280332770.0,18.6,19.7
UBERABA ,100255.0,22.0,11.6,6898.0,12.8,17.0,142376.0,46.4,24.6
UBERLÂNDIA ,1034520.0,-6.3,-11.0,21529.0,0.6,-10.5,1083902.0,-0.3,-42.5
VALENCIA,10811963.0,8.7,26.6,87500.0,6.4,12.6,12892782.0,-5.7,-11.2
VALLADOLID,192038.0,-9.4,-22.9,6602.0,1.0,16.4,225.0,-96.3,-97.9
VIGO,1058529.0,-6.8,4.6,11515.0,-22.5,-0.1,314885.0,-61.0,-41.8
VITORIA,263869.0,-14.9,51.6,13857.0,-2.3,28.3,70500062.0,-1.7,9.4
ZARAGOZA,694237.0,1.2,48.4,10379.0,6.8,18.3,181353196.0,39.7,-0.7
" Todos los datos son sobre el total.
- Sin tráfico el año anterior",,,,,,,,,
