"TRÁFICO DE PASAJEROS, OPERACIONES Y CARGA EN LA RED DE AENA",,,,,,,,,,,,,,
,,Dirección de Operaciones y Red de Aeropuertos,,,,Datos Definitivos,,,,,,,,AÑO 2024
,,Departamento de Estadísticas,,,,,,,,,,,,LLEGADAS Y SALIDAS
,,,,,,,,,,,,,,
,,PASAJEROS,,,,,OPERACIONES,,,,,MERCANCÍA,,
,Aeropuertos,Total,% Inc 2024 /s 2023,% Inc 2024 /s 2019,,Aeropuertos,Total,% Inc 2024 /s 2023,% Inc 2024 /s 2019,,Aeropuertos,Total,% Inc 2024 /s 2023,% Inc 2024 /s 2019
,,,,,,,,,,,,,,
,ADOLFO SUÁREZ MADRID-BARAJAS,66.197.066,"9,9%","7,2%",,ADOLFO SUÁREZ MADRID-BARAJAS,420.182,"8,0%","-1,5%",,ADOLFO SUÁREZ MADRID-BARAJAS,766.906.712,"19,2%","36,9%"
,BARCELONA-EL PRAT J.T.,55.037.892,"10,3%","4,5%",,BARCELONA-EL PRAT J.T.,347.978,"9,1%","1,0%",,BARCELONA-EL PRAT J.T.,181.723.353,"16,1%","2,8%"
,PALMA DE MALLORCA,33.298.379,"7,0%","12,0%",,PALMA DE MALLORCA,243.201,"6,2%","12,0%",,ZARAGOZA,181.353.196,"39,7%","-0,7%"
,MÁLAGA-COSTA DEL SOL,24.924.219,"11,5%","25,5%",,MÁLAGA-COSTA DEL SOL,174.919,"8,2%","20,7%",,VITORIA,70.500.062,"-1,7%","9,4%"
,ALICANTE-ELCHE MIGUEL HDEZ.,18.388.543,"16,8%","22,2%",,GRAN CANARIA,140.462,"8,4%","11,1%",,GRAN CANARIA,18.413.262,"7,6%","-6,7%"
,GRAN CANARIA,15.219.843,"9,0%","14,8%",,ALICANTE-ELCHE MIGUEL HDEZ.,116.270,"15,6%","14,7%",,VALENCIA,12.892.782,"-5,7%","-11,2%"
,TENERIFE SUR,13.741.355,"11,4%","23,0%",,TENERIFE SUR,90.508,"8,3%","28,8%",,TENERIFE NORTE-C. LA LAGUNA,12.861.878,"11,3%","2,1%"
,VALENCIA,10.811.963,"8,7%","26,6%",,VALENCIA,87.500,"6,4%","12,6%",,SEVILLA,10.955.009,"0,4%","10,7%"
,SEVILLA,9.175.759,"13,7%","21,6%",,IBIZA,83.049,"0,3%","10,2%",,PALMA DE MALLORCA,6.758.092,"-5,9%","-25,1%"
,IBIZA,9.073.223,"1,6%","11,3%",,TENERIFE NORTE-C. LA LAGUNA,82.063,"9,1%","8,9%",,SANTIAGO-ROSALÍA DE CASTRO,5.020.688,"4,2%","56,8%"
,LANZAROTE CÉSAR MANRIQUE,8.714.439,"6,1%","19,5%",,LANZAROTE CÉSAR MANRIQUE,71.608,"5,1%","18,3%",,ALICANTE-ELCHE MIGUEL HDEZ.,4.247.917,"-4,8%","5,3%"
,BILBAO,6.777.645,"7,0%","14,8%",,SEVILLA,71.440,"10,3%","11,4%",,MÁLAGA-COSTA DEL SOL,3.588.580,"27,9%","16,5%"
,TENERIFE NORTE-C. LA LAGUNA,6.765.619,"10,5%","15,9%",,MADRID-CUATRO VIENTOS,63.910,"12,8%","23,0%",,BILBAO,927.558,"23,5%","-5,3%"
,FUERTEVENTURA,6.445.952,"7,1%","14,4%",,SABADELL,58.695,"22,0%","15,9%",,IBIZA,867.779,"-12,6%","-39,5%"
,MENORCA,4.172.691,"3,2%","19,4%",,BILBAO,52.539,"2,1%","1,8%",,TENERIFE SUR,775.481,"-1,6%","-64,6%"
,SANTIAGO-ROSALÍA DE CASTRO,3.640.519,"2,9%","25,4%",,JEREZ DE LA FRONTERA,52.527,"7,2%","-3,6%",,MENORCA,596.116,"-13,4%","-51,9%"
,GIRONA-COSTA BRAVA,1.998.021,"25,9%","3,4%",,FUERTEVENTURA,52.033,"5,6%","10,2%",,LANZAROTE CÉSAR MANRIQUE,507.593,"-2,7%","-64,6%"
,ASTURIAS,1.993.063,"0,9%","40,6%",,MENORCA,36.949,"3,6%","16,9%",,FUERTEVENTURA,348.674,"-6,1%","-52,6%"
,LA PALMA,1.496.133,"9,3%","0,8%",,SANTIAGO-ROSALÍA DE CASTRO,26.969,"4,1%","20,4%",,LA PALMA,319.672,"14,1%","-31,4%"
,A CORUÑA,1.237.570,"-1,2%","-8,5%",,LA PALMA,24.381,"5,1%","7,8%",,VIGO,314.885,"-61,0%","-41,8%"
,REUS,1.181.514,"13,0%","12,9%",,GIRONA-COSTA BRAVA,24.370,"19,4%","33,5%",,GIRONA-COSTA BRAVA,301.957,"-2,0%","286,0%"
,FGL GRANADA-JAÉN,1.133.554,"9,1%","-9,5%",,BURGOS,22.540,"1,7%","599,8%",,A CORUÑA,54.792,"-28,8%","-64,0%"
,SEVE BALLESTEROS-SANTANDER,1.095.398,"-11,8%","-6,8%",,REUS,21.921,"6,9%","24,0%",,EL HIERRO,53.015,"-8,8%","-25,0%"
,VIGO,1.058.529,"-6,8%","4,6%",,FGL GRANADA-JAÉN,18.444,"14,1%","26,9%",,MELILLA,31.934,"29,4%","-76,3%"
,JEREZ DE LA FRONTERA,949.726,"5,0%","-15,3%",,SON BONET,18.247,"7,7%","36,6%",,ASTURIAS,7.187,"-37,5%","-74,8%"
,AEROPUERTO INTL. REGIÓN MURCIA (**),909.821,"3,6%","-16,6%",,ASTURIAS,15.466,"1,2%","15,4%",,LA GOMERA,4.304,"-12,0%","128,9%"
,ALMERÍA,786.931,"1,5%","-19,7%",,CÓRDOBA,15.071,"10,6%","39,2%",,VALLADOLID,225,"-96,3%","-97,9%"
,ZARAGOZA,694.237,"1,2%","48,4%",,A CORUÑA,14.490,"-5,9%","-15,8%",,ALMERÍA,45,"-2,2%","-75,9%"
,MELILLA,507.987,"1,4%","16,9%",,VITORIA,13.857,"-2,3%","28,3%",,SEVE BALLESTEROS-SANTANDER,20,"-73,7%","-87,9%"
,SAN SEBASTIÁN,486.494,"0,8%","51,8%",,ALMERÍA,12.254,"3,7%","4,1%",,PAMPLONA,2,"-99,3%","-100,0%"
,EL HIERRO,322.182,"7,0%","19,8%",,SEVE BALLESTEROS-SANTANDER,11.724,"-6,9%","4,3%",,AEROPUERTO INTL. REGIÓN MURCIA (**),0,---,---
,VITORIA,263.869,"-14,9%","51,6%",,VIGO,11.515,"-22,5%","-0,1%",,ALBACETE,0,---,---
,PAMPLONA,220.394,"11,5%","-9,5%",,MELILLA,10.977,"2,1%","12,4%",,ALGECIRAS /HELIPUERTO,0,---,---
,VALLADOLID,192.038,"-9,4%","-22,9%",,ZARAGOZA,10.379,"6,8%","18,3%",,BADAJOZ,0,---,---
,LA GOMERA,120.707,"6,5%","55,6%",,LOGROÑO,8.781,"341,3%","518,4%",,BURGOS,0,---,"-100,0%"
,BADAJOZ,91.461,"14,0%","21,3%",,SALAMANCA,8.447,"2,4%","-16,6%",,CEUTA /HELIPUERTO,0,---,---
,CEUTA /HELIPUERTO,80.682,"-7,3%","12,6%",,CEUTA /HELIPUERTO,7.513,"-3,8%","9,7%",,CÓRDOBA,0,---,---
,LEÓN,62.115,"-2,2%","-5,9%",,AEROPUERTO INTL. REGIÓN MURCIA (**),7.140,"6,6%","-10,5%",,FGL GRANADA-JAÉN,0,"-100,0%","-100,0%"
,ALGECIRAS /HELIPUERTO,33.762,"-18,6%","-10,5%",,VALLADOLID,6.602,"1,0%","16,4%",,HUESCA-PIRINEOS,0,---,---
,SALAMANCA,20.215,"-4,2%","13,8%",,EL HIERRO,6.404,"4,5%","19,2%",,JEREZ DE LA FRONTERA,0,"-100,0%","-100,0%"
,LOGROÑO,18.632,"11,2%","-4,2%",,SAN SEBASTIÁN,6.015,"-2,3%","-7,1%",,LEÓN,0,---,---
